catalog_no,title,author_name,published_year,pages,language,status,Source,category1,category2
S0127,චරියාපිටක අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0128,චූලනිද්දේසපාලි අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0129,මහානිද්දේසපාලි අටුවාව,BCC,,518,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0130,ථේරගාථා අටුවාව 1,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0131,ථේරගාථා අටුවාව 2,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0132,නෙත්තිප්පකරණ අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0133,පටිසම්භිදාමග්ග අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0134,පේතවත්ථු අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0135,බුද්ධවංස අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0136,සුත්ත නිපාත අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0137,චතුභාණවාර අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0138,ජාතක අටුවාව 1,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0139,ජාතක අටුවාව 2,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0140,ජාතක අටුවාව 3,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0141,ජාතක අටුවාව 4,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0142,ජාතක අටුවාව 5,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0143,ජාතක අටුවාව 6,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0144,ජාතක අටුවාව 7,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0145,දීඝනිකාය අටුවාව 1,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0146,දීඝනිකාය අටුවාව 2,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0147,මජ්ඣිම නිකාය අටුවාව 1,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0148,මජ්ඣිම නිකාය අටුවාව 2,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0149,මජ්ඣිම නිකාය අටුවාව 3,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0150,මජ්ඣිම නිකාය අටුවාව 4,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0151,සංයුක්ත නිකාය අටුවාව 1,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0152,සංයුක්ත නිකාය අටුවාව 2,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0153,සංයුක්ත නිකාය අටුවාව 3,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
S0154,සුත්තසංගහ අටුවාව,BCC,,,Sinhala,Full,Path Nirwana,සූත්‍ර,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0088,ආණා දේසනා කර්ම වාක්‍ය පොත,කල්‍යාණී යෝගාශ්‍රම,2019-01-01,519,Sinhala,Full,Path Nirwana,විනය,භික්ෂු විනය
RG0029,දහම්සොඬකව,වැලිවිටියේ සෝරත හිමි/ අලගියවන්න මුකවෙටිතුමා,1934-01-01,144,Sinhala,Full,Path Nirwana,ඉපැරණි ග්‍රන්ථ,සිංහල සාහිත්‍ය
RA0019,පොහොය වර්ණනාව,මාපලගම සෝමිස්සර හිමි,1968-01-01,179,Sinhala,Full,Path Nirwana,ඉපැරණි ග්‍රන්ථ,පැරණි ධර්ම ග්‍රන්ථ
V0089,වහලය ගලවන්න භික්ෂු ප්‍රාතිමෝක්‍ෂය,ඇස්වත්තේ රේවත හිමි,2005-01-01,604,Sinhala,Full,Path Nirwana,විනය,භික්ෂු විනය
RA0020,සිංහල සාරසඞ්ග්‍රහය,කහවේ සුමංගල හිමි,1929-01-01,321,Sinhala,Full,Path Nirwana,ඉපැරණි ග්‍රන්ථ,පැරණි ධර්ම ග්‍රන්ථ
RA0021,බුදුසමයේ පැනෙන මාරයා,කන්දරපංගුවේ ධම්මසිරි හිමි,2009-01-01,210,Sinhala,Full,Path Nirwana,ඉපැරණි ග්‍රන්ථ,පැරණි ධර්ම ග්‍රන්ථ
RA0022,සංඛ්‍යා ධර්මපද වර්ණනා,කන්දරපංගුවේ ධම්මසිරි හිමි,2006-01-01,712,Sinhala,Full,Path Nirwana,ඉපැරණි ග්‍රන්ථ,පැරණි ධර්ම ග්‍රන්ථ
V0090,අපේ විනය පොත,නා උයන අරණ්‍ය,2015-01-01,149,Sinhala,Full,Path Nirwana,විනය,භික්ෂු විනය
V0091,අධිමාස පකාසිනි,ධම්මතිලක නා හිමි,1921-01-01,10,Sinhala,Full,,විනය,භික්ෂු විනය
V0092,අධිමාස මණ්ඩලය,එස්.ඩී.එස්. ජයරත්න,1906-01-01,30,Sinhala,Full,,විනය,භික්ෂු විනය
V0093,නිකාය සංග්රහය හෙවත් ශාශනාවතාරය,ධර්මකිර්ති හිමි,1922-01-01,32,Sinhala,Full,,විනය,භික්ෂු විනය
V0094,අපේ උත්තර පොත,නා උයන අරණ්‍ය,,132,Sinhala,Full,,විනය,භික්ෂු විනය
V0095,සුගත විධත්ති විධානය,දොඩන්දුවේ ශ්‍රී සිලස්කන්ධ හිමි,1894-01-01,51,Sinhala,Full,,විනය,භික්ෂු විනය
V0096,සාරාර්ථදීපනි විනය ටීකා 01- (16),BCC,,,Sinhala,Full,My Library,විනය,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0097,සාරාර්ථදීපනි විනය ටීකා 02 - (19),BCC,,,Sinhala,Full,My Library,විනය,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0098,සාරාර්ථදීපනි විනය ටීකා 03 - (21),BCC,,,Sinhala,Full,My Library,විනය,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0099,විනයාලංකාර ටීකා 01 (20),BCC,,465,Sinhala,Full,My Library,විනය,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0100,විනයාලංකාර ටීකා 02 (22),BCC,,427,Sinhala,Full,My Library,විනය,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0101,විමතිවිනොදනී ටීකා (23),BCC,,421,Sinhala,Full,My Library,විනය,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
V0102,සාමණේර ප්‍රශ්ණ සන්නය,බෙන්තර ශ්‍රී සරණංකර හිමි,1899-01-01,183,183,Full,Na Uyana,විනය,භික්ෂු විනය
V0103,කංඛාවිතරණි මාතිකා අට්ටකථා හේවාවිතාරණ,හේවාවිතාරණ පාලි අටුවා,2014-01-01,251,Pali,Full,Path Nirwana,විනය,පාලි අට්ටකතා
V0104,පාරාජිකා පාළි,ධම්මවිචය ග්‍රන්ථ,,351,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0105,පාචිත්තිය පාළි,ධම්මවිචය ග්‍රන්ථ,,423,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0106,චුල්ලවග්ග පාළි,ධම්මවිචය ග්‍රන්ථ,,462,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0107,මහාවග්ග පාළි,ධම්මවිචය ග්‍රන්ථ,,560,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0108,පරිවාර පාළි,ධම්මවිචය ග්‍රන්ථ,,355,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0109,පාරාජිකා පාළි අට්ටකතා,ධම්මවිචය ග්‍රන්ථ,,615,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0110,පාචිත්තිය පාළි අට්ටකතා,ධම්මවිචය ග්‍රන්ථ,,214,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0111,චුල්ලවග්ග පාළි අට්ටකතා,ධම්මවිචය ග්‍රන්ථ,,126,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0112,මහාවග්ග පාළි අට්ටකතා,ධම්මවිචය ග්‍රන්ථ,,186,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0113,පරිවාර පාළි අට්ටකතා,ධම්මවිචය ග්‍රන්ථ,,115,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0114,සාරාර්ථදීපානි ටිකාව 01,ධම්මවිචය ග්‍රන්ථ,,394,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0115,සාරාර්ථදීපානි ටිකාව 02,ධම්මවිචය ග්‍රන්ථ,,396,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0116,සාරාර්ථදීපානි ටිකාව 03,ධම්මවිචය ග්‍රන්ථ,,476,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0117,වජිරබුද්ධි ටිකාව,ධම්මවිචය ග්‍රන්ථ,,630,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0118,විමතිවිනෝදනී ටිකාව,ධම්මවිචය ග්‍රන්ථ,,654,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0119,ද්වෙමතික පාලි ටීකා,ධම්මවිචය ග්‍රන්ථ,,316,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0120,කංඛාවිතරණි පුරාණ ටිකාව,ධම්මවිචය ග්‍රන්ථ,,106,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0121,කංඛාවිතරණි අභිනව ටිකාව,ධම්මවිචය ග්‍රන්ථ,,320,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0122,විනයාලංකාර ටිකාව,ධම්මවිචය ග්‍රන්ථ,,591,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0123,ඛුද්දක සිඛා- මූල සික්ඛා,ධම්මවිචය ග්‍රන්ථ,,364,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0124,විනයසංග්‍රහ අට්ටකතා,ධම්මවිචය ග්‍රන්ථ,,394,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0125,විනය විනිශ්චය ටිකා,ධම්මවිචය ග්‍රන්ථ,,729,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0126,විනය විනිශ්චය- උත්තර විනිශ්චය,ධම්මවිචය ග්‍රන්ථ,,429,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0127,පාචිත්‍යාදී යෝජනා,ධම්මවිචය ග්‍රන්ථ,,526,Pali,Full,Na Uyana,විනය,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
V0128,ප්‍රාතිමොක්ඛදීපිකා,විගොඩ ගුනාලංකාර හිමි,1959-01-01,313,Sinhala,Full,Paramaththa,විනය,භික්ෂු විනය
V0129,සංවාසදිපනිය,සිරි ධම්ම හිමි,1915-01-01,55,Sinhala,Full,Polgasduwa,විනය,භික්ෂු විනය
V0130,පාතිමොක්ඛ සාරය,කේ ඤාණසාර හිමි,1935-01-01,40,Sinhala,Full,Paramaththa,විනය,භික්ෂු විනය
A0090,ධම්මසංගනීප්‍රකරණo,මොරටුවේ දේවානන්ද හිමි,,244,Pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0091,නාම රූප සමාසය,ධම්මපාල හිමි,1908-01-01,80,Sinhala,Full,Polgasduwa,අභිධර්ම,අභිධර්ම
A0092,අභිධර්ම පරීක්ෂණය,හේන්පිටගෙදර ඤාණ හිමි,1960-01-01,188,Sinhala,Full,Polgasduwa,අභිධර්ම,අභිධර්ම
A0093,අභිධම්මත්ත විකාසිනි (අභිධර්මාර්ථ ටිකාව),BCC,,785,Sinhala,Full,My Library,අභිධර්ම,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
A0094,අභිධම්මත්ත විභාවිනි ටීකා,BCC,,529,Sinhala,Full,My Library,අභිධර්ම,බෞද්ධ සංස්කෘත මධ්‍යස්ථාන මුද්‍රණය
A0095,පංචස්ඛන්ධ විභාගය,ඛේන්දලුවේ ධිරානන්ද හිමි,1954-01-01,166,Sinhala,Full,My Library,අභිධර්ම,අභිධර්ම
A0096,සප්ත විශුද්ධි නිර්දේශ,නිතලව ශ්‍රී ඤානිස්සර හිමි,,,Sinhala,Full,My Library,අභිධර්ම,අභිධර්ම
A0097,ධම්මසංගණී ප්‍රකරණය - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,281,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0098,විභංග ප්‍රකරණය - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,446,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0099,ධාතුකථාප්‍රකරණය - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,90,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0100,පුග්ගල පඤ්ඤත්ති ප්‍රකරණ - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,80,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0101,කථාවත්ථු ප්‍රකරණය - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,445,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0102,යමක ප්‍රකරණ 1 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,364,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0103,යමක ප්‍රකරණ 2 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,365,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0104,යමක ප්‍රකරණ 3- අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,459,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0105,පට්ඨාන ප්‍රකරණ 1 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,451,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0106,පට්ඨාන ප්‍රකරණ 2 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,494,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0107,පට්ඨාන ප්‍රකරණ 3 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,594,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0108,පට්ඨාන ප්‍රකරණ 4 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,627,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0109,පට්ඨාන ප්‍රකරණ 5 - අභිධම්ම,ධම්මවිචය ග්‍රන්ථ,,399,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0110,අත්තසාලිනි ධම්මසඞ්ගණි අටුවාව,ධම්මවිචය ග්‍රන්ථ,,394,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0111,පංචප්පකරණ අටුවාව,ධම්මවිචය ග්‍රන්ථ,,438,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0112,විභංග අටුවාව,ධම්මවිචය ග්‍රන්ථ,,445,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0113,ධම්මසංගිනි මුලටිකා,ධම්මවිචය ග්‍රන්ථ,,187,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0114,ධම්මසංගිනි අනුටිකා,ධම්මවිචය ග්‍රන්ථ,,194,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0115,විභංගමුලටීකා,ධම්මවිචය ග්‍රන්ථ,,175,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0116,විභංග අනුටිකා,ධම්මවිචය ග්‍රන්ථ,,216,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0117,පන්චප්‍රකරන මුලටිකා,ධම්මවිචය ග්‍රන්ථ,,179,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0118,පන්චප්‍රකරන අනුටිකා,ධම්මවිචය ග්‍රන්ථ,,287,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0119,අභිධම්ම මාතිකා ටීකා,ධම්මවිචය ග්‍රන්ථ,,94,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0120,අභිධම්මත්ත විභාවිනි ටීකා,ධම්මවිචය ග්‍රන්ථ,,213,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0121,අභිධම්මාවතාර,ධම්මවිචය ග්‍රන්ථ,,562,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0122,අභිධම්මාවතාර පුරාන ටීකා,ධම්මවිචය ග්‍රන්ථ,,545,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0123,මෝහවිච්චේදනී (චෝලිය කස්සප ථේර),ධම්මවිචය ග්‍රන්ථ,,347,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0124,පරමත්ථදිපනිය,ධම්මවිචය ග්‍රන්ථ,,285,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0125,නිරුත්ති දිපනිය (පරමත්ථදිපනිය ටිකාව),ධම්මවිචය ග්‍රන්ථ,,377,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0126,පට්ඨානඋද්දේසදිපනිය,ධම්මවිචය ග්‍රන්ථ,,47,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
A0127,අනුදිපනි පාඨ,ධම්මවිචය ග්‍රන්ථ,,242,Pali,Full,Na Uyana,අභිධර්ම,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
RA0023,ඥයාර්ථදිපනිය,ඊ ඩබ් වීරරත්න,1903-01-01,122,Sinhala,Full,My Library,ඉපැරණි ග්‍රන්ථ,පැරණි ධර්ම ග්‍රන්ථ
A0128,පරමාර්ථ ධර්ම මකරන්දය,මොරටුවේ මේධානන්ද හිමි,1917-01-01,181,Sinhala,Full,Na Uyana,අභිධර්ම,අභිධර්ම
A0129,පරමාර්ථ ප්‍රකාශනිය,,,23,Sinhala,Full,Paramaththa,අභිධර්ම,අභිධර්ම
A0130,අභිධර්මය,ඌහන්විට සාසනතිලක හිමි,1946-01-01,209,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0131,විද්‍යාමාර්ග දීපනිය සහ සංක්ෂේප රූපසංග්‍රහ වර්ණනාව,සිරිධම්ම හිමි,1922-01-01,89,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0132,අභිධම්මතථ සංගහො,දේවමිත්ත හිමි/ හික්කඩුවේ ශ්‍රී සුමංගල හිමි,1908-01-01,55,Pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0133,නාමරූප පරිච්චේදෝ,පොල්වත්තේ බුද්ධදත්ත හිමි,1912-01-01,128,Pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0134,චිත්ත චෛතසික විභාගය,පානදුරේ සෝමරතන හිමි,1928-01-01,122,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0135,පරමාර්ථ ස්වරූප භේදනිය,,,100,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0136,අභිධර්මාර්ථ සංග්‍රහ පරමාර්ථචන්ද්‍රිකා භාවාර්ථ ව්‍යාඛ්‍යව,සද්ධානන්ද හිමි,1929-01-01,278,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0137,අභිධර්මාර්ථ සංග්‍රහශුද්ධිය,ඇම් ධර්මරත්න මයා,1893-01-01,23,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0138,සිංහල පුග්ගල පඤ්ඤත්ති විභාගය,මුද්දරගම ධම්මාලංකාර හිමි,1954-01-01,262,Sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0139,ධම්සඟුණු නම් විජම්පෙළ,බෙන්තර සද්ධාතිස්ස හිමි,1929-01-01,231,pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0140,පට්ඨානප්‍රකරණං,දොඩම්පහල කවිධජ හිමි,1942-01-01,244,pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0141,විභංගප්‍රකරණං,වැල්මිල්ලේ රතනජෝති හිමි,1913-01-01,350,pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0142,සම්මෝහවිනොදනි නාමධෙය විභංගඅට්ඨකථා (ප්‍රථම භාගය),වැල්මිල්ලේ රතනජෝති හිමි,1910-01-01,246,pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0143,අභිධර්මචින්තාමණි (ප්‍රථම භාගය),දෙවිනුවර ඤාණාවාස හිමි,1938-01-01,117,sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0144,අභිධම්මත්‍ථසංගහසංඛේපවන්නනා,ඇම් ධර්මරත්න මයා,1899-01-01,60,pali,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0145,"පරමාර්ථ විකාශනි (1, 2, 3)",වෑබඩ සංඝරතන හිමි,1942-01-01,583,sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0146,SAMMOHA VINODANI,පොල්වත්තේ බුද්ධදත්ත හිමි,1923-01-01,560,English,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0147,ABHIDAMMATTHA SANGAHA,වජිරාරාම නාරද හිමි,1956-01-01,468,English,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0148,BUDDHADATTA'S MANUALS OR SUMMARIES OF ABHIDHAMMA,පොල්වත්තේ බුද්ධදත්ත හිමි,1915-01-01,204,English,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0149,Manual Of Abidamma,භික්ඛු කාශ්‍යප,1942-01-01,659,English,Full,Daham Madura,අභිධර්ම,අභිධර්ම
A0150,කුශලත්‍රිකය,රත්මලානේ ධම්මාදාර හිමි,1905-01-01,32,sinhala,Full,Daham Madura,අභිධර්ම,අභිධර්ම
P0102,pali Dhathupatha and dathupatha Manjusa,,1921-01-01,94,English,Full,Archive.org,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0103,Pali Grammer,Williuem Geiger,2005-01-01,120,English,Full,Archive.org,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0104,මොග්ගල්ලාන ව්‍යකරනං,ධම්මවිචය ග්‍රන්ථ,,220,Pali,Full,Na Uyana,පාළි ව්‍යාකරණ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
P0105,කච්චායන ව්‍යකරනං,ධම්මවිචය ග්‍රන්ථ,,209,Pali,Full,Na Uyana,පාළි ව්‍යාකරණ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
P0106,සද්දනිතිප්‍රකරණ (පදමාලා),ධම්මවිචය ග්‍රන්ථ,,296,Pali,Full,Na Uyana,පාළි ව්‍යාකරණ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
