catalog_no,title,author_name,published_year,pages,language,status,Source,category1,category2
R0001,මහා වංශය පාලි,ධම්මවිචය ග්‍රන්ථ,,526,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0002,චුලවංශ ග්‍රන්ථ පාලි,ධම්මවිචය ග්‍රන්ථ,,23,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0003,සාසනවංසප්‍රදීපිකා,ධම්මවිචය ග්‍රන්ථ,,136,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0004,රසවාහිනී,ධම්මවිචය ග්‍රන්ථ,,145,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0005,සිමාවිශෝධනි,ධම්මවිචය ග්‍රන්ථ,,102,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0006,වෙස්සන්තරාගිති,ධම්මවිචය ග්‍රන්ථ,,91,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0007,මොග්ගල්ලාන වුත්තිවිවරණපංචිකා,ධම්මවිචය ග්‍රන්ථ,,155,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0008,ථූපවංස,ධම්මවිචය ග්‍රන්ථ,,93,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0009,ධාඨාවංස,ධම්මවිචය ග්‍රන්ථ,,59,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0010,ධතුපාටවිලාසිනි,ධම්මවිචය ග්‍රන්ථ,,7,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0011,ධාතුවංස,ධම්මවිචය ග්‍රන්ථ,,57,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0012,අත්තනගාලුවිහාරවංස,ධම්මවිචය ග්‍රන්ථ,,33,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0013,ජිනචරිතය,ධම්මවිචය ග්‍රන්ථ,,60,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0014,ජිනවංසදීපං,ධම්මවිචය ග්‍රන්ථ,,312,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0015,තේලකටහගාථා,ධම්මවිචය ග්‍රන්ථ,,18,Sinhala,Full,Na Uyana,ධර්ම සංග්‍රහ ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0016,මිලින්දටීකා,ධම්මවිචය ග්‍රන්ථ,,88,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0017,පදමන්ජරි,ධම්මවිචය ග්‍රන්ථ,,81,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0018,පදසධනම්,ධම්මවිචය ග්‍රන්ථ,,79,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0019,සද්දබින්දුප්‍රකරණ,ධම්මවිචය ග්‍රන්ථ,,8,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0020,කච්චායනධාතුමංජුසා,ධම්මවිචය ග්‍රන්ථ,,22,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0021,සමන්තකුටවර්ණනා,ධම්මවිචය ග්‍රන්ථ,,101,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0022,නමක්කාර පාලි ටීකා,ධම්මවිචය ග්‍රන්ථ,,152,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0023,බුදුගුණ ගාථාවලි,ධම්මවිචය ග්‍රන්ථ,,85,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0024,ජිනාලංකාර,ධම්මවිචය ග්‍රන්ථ,,35,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0025,චානක්‍යනීති පාලි,ධම්මවිචය ග්‍රන්ථ,,20,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0026,චතුරාරඛදිපනි,ධම්මවිචය ග්‍රන්ථ,,69,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0027,ධම්මනිති,ධම්මවිචය ග්‍රන්ථ,,47,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0028,කවිපදනීති,ධම්මවිචය ග්‍රන්ථ,,50,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0029,ලෝකනීති,ධම්මවිචය ග්‍රන්ථ,,31,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0030,මහාරහනීති,ධම්මවිචය ග්‍රන්ථ,,44,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0031,නරදක්ඛදිපනි,ධම්මවිචය ග්‍රන්ථ,,63,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0032,නිතිමන්ජරි,ධම්මවිචය ග්‍රන්ථ,,47,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0033,සුරස්සතිනීති,ධම්මවිචය ග්‍රන්ථ,,21,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
R0034,සුත්තන්තනීති,ධම්මවිචය ග්‍රන්ථ,,12,Sinhala,Full,Na Uyana,ඉපැරණි ග්‍රන්ථ,ධම්මවිචය ඡට්ට සංගායනා ග්‍රන්ථ
RE0001,අභිනව යෝගමුක්තාවලිය,ඩි සි යාගබමුනු,1900-01-01,38,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0002,ගෙඩි වෙදකම,,,100,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0003,චරක සංහිතාව,ආර් බුද්ධදාස,1960-01-01,992,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0004,ද්‍රව්‍යගුණ නිඝණ්ටුව,ජි ඩබ් ගේබ්‍රියෙල් ගුණවර්ධන,1912-01-01,334,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0005,නාඩි ඥානතරංගිණිය,ජේ පි ජයතිලක වෙද අප්පුහාමි,1892-01-01,30,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0006,නාඩි ප්‍රකාශය,දොන් හරමානිස් අල්විස්,1890-01-01,24,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0007,පුරාණ සර්ප විෂ චිකිත්සා,,1948-01-01,190,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0008,භාරත රෝග නිවාරණ ක්‍රම,මඩබාවිට විජයසෝම හිමි,1977-01-01,40,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0009,භෙෂජසංග්‍රහව,ඇන් ඒ පෙරේරා,1892-01-01,36,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0010,භෛෂජ්‍ය දර්‍පණය,,,68,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0011,භෛෂජ්යදර්පණය,ජේ පෙරේරා,,98,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0012,මාධවනිදාන,බටුවන්තුඩාවේ පඬිතුමා,1859-01-01,470,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0013,යොග මාලාව හෙවත් සත්‍යාසාර යෝග සංග්‍රහව,සරදියෙල් අප්පුහාමි,1892-01-01,20,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0014,යොගශතකය,බටුවන්තුඩාවේ පඬිතුමා,1898-01-01,44,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0015,යොගාර්ණවය,කිරිඇල්ලේ ඤාණවිමල නා හිමි,1942-01-01,105,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0016,යෝගරත්නාකරය,ජෝර්ජ් රන්දුනු සමරතුංග,1897-01-01,456,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0017,යෝගසේකරය,ඇම් ඩි ආර් අප්පුහාමි,1902-01-01,78,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0018,වටිකා ප්‍රකරණය,,,264,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0019,වෛද්‍යක සාරාර්ථ සංග්‍රහය,ආරියදාස කුමාරසිංහ,1987-01-01,1272,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0020,වෛද්‍යචින්තාමණි භෛෂද්‍ය සංග්‍රහව.,බි ජයසිංහ අප්පුහාමි,1909-01-01,572,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0021,වෛද්‍යජීවනය,පුංචි බණ්ඩාර,1902-01-01,90,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0022,ශාර්ඞගධර සංහිතාව,ආරියදාස කුමාරසිංහ,1962-01-01,284,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0023,සතශෙලාකය,ඒකනායක කුරුප්පු ආරච්චි,1862-01-01,58,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0024,සරස්වතී නිඝණ්ටුව,ජි ඩබ් ගේබ්‍රියෙල් ගුණවර්ධන,1918-01-01,146,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0025,සිඞෞෂධ නිඝණ්ටුව,හරමානිස් සමරසිංහ,1911-01-01,172,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
